adc1, adc2, adc3, adc4, gx, gy, gz 
2016-04-02 16:12:00.779703,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.780436,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.780669,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.781370,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.781599,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.782299,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.782529,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.783231,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.783459,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.784162,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.784391,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.785093,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.785321,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.786021,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.786250,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.786951,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.787180,236, 236, 9, 6, -54, 47, 0 
2016-04-02 16:12:00.787881,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.788109,236, 236, 9, 6, -54, 47, 0 
2016-04-02 16:12:00.788810,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.789040,236, 236, 9, 6, -54, 47, 0 
2016-04-02 16:12:00.789739,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.789993,236, 236, 9, 6, -54, 47, 0 
2016-04-02 16:12:00.790697,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.790929,236, 236, 9, 6, -54, 47, 0 
2016-04-02 16:12:00.791631,236, 236, 9, 6, -54, 47, 0 
2016-04-02 16:12:00.791860,236, 236, 9, 6, -54, 47, 0 
2016-04-02 16:12:00.792561,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.792791,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.793492,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.793721,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.794475,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.794710,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.795412,236, 236, 6, 6, -54, 47, 0 
